,,,,,,,,,
,,,Date | Hour | Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
,,,17:45 - 18:00,16231.80,8382.70,8265.60,8267.20,9999.84,9999.84
,,19,18:00 - 18:15,14192.00,6649.60,6557.60,6557.60,10000.00,10000.00
,,,18:15 - 18:30,14372.80,5969.00,5897.00,5897.00,10000.00,10000.00
,,,18:30 - 18:45,14323.80,5856.20,5804.20,5804.19,10000.00,10000.00
,,,18:45 - 19:00,14787.10,5852.80,5852.79,5852.79,10000.00,10000.00
,,20,19:00 - 19:15,17421.10,4007.90,4007.88,4007.89,10000.00,10000.00
,,,19:15 - 19:30,17619.10,4042.40,4042.39,4042.40,10000.00,10000.00
,,,19:30 - 19:45,17363.60,4198.50,4198.50,4198.50,10000.00,10000.00
,,,19:45 - 20:00,16116.70,4227.10,4227.10,4227.10,10000.00,10000.00
,,21,20:00 - 20:15,14682.00,4291.40,4291.40,4291.39,10000.00,10000.00
,,,20:15 - 20:30,14599.20,4347.90,4347.90,4347.90,10000.00,10000.00
,,,20:30 - 20:45,14682.70,4564.70,4564.70,4564.70,10000.00,10000.00
,,,20:45 - 21:00,14609.60,4557.40,4557.40,4557.38,10000.00,10000.00
,,22,21:00 - 21:15,14027.10,3796.40,3796.38,3796.40,10000.00,10000.00
,,,21:15 - 21:30,13961.70,3790.60,3790.60,3790.58,10000.00,10000.00
,,,21:30 - 21:45,13904.60,3850.00,3850.00,3850.00,10000.00,10000.00
,,,21:45 - 22:00,13818.40,3904.20,3904.19,3904.19,10000.00,10000.00
,,23,22:00 - 22:15,13490.30,4075.50,4075.50,4075.50,10000.00,10000.00
,,,22:15 - 22:30,13260.90,4231.40,4231.38,4231.38,10000.00,10000.00
,,,22:30 - 22:45,13174.00,4284.90,4284.90,4284.90,10000.00,10000.00
,,,22:45 - 23:00,13106.90,4158.20,4158.20,4158.18,10000.00,10000.00
,,24,23:00 - 23:15,13384.00,4023.60,4023.58,4023.60,10000.00,10000.00
,,,23:15 - 23:30,13359.70,3857.90,3857.90,3857.89,10000.00,10000.00
,,,23:30 - 23:45,12945.60,3701.00,3701.00,3701.00,10000.00,10000.00
,,,23:45 - 24:00,12352.30,3653.30,3653.30,3653.29,10000.00,10000.00
,,,,,,,,,
,,,Date,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
,,24-09-2024,Total (MWh),292013.03,253188.05,159570.77,155010.16,-,-
,,,Max (MW),17619.10,19050.70,10793.59,10794.40,10000.00,10000.00
,,,Min (MW),8185.30,3653.30,3653.30,3653.29,2335.50,2335.50
,,,Average (MW),12167.21,10549.50,6648.78,6458.76,5885.94,5885.94
